,precision,recall,f1-score,support
ACCOUNTANT,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
ADVOCATE,0.0,0.0,0.0,6.0
AGRICULTURE,0.0,0.0,0.0,3.0
APPAREL,0.0,0.0,0.0,5.0
ARTS,1.0,0.2,0.3333333333333333,5.0
AUTOMOBILE,0.0,0.0,0.0,2.0
AVIATION,0.0,0.0,0.0,5.0
BANKING,0.0,0.0,0.0,6.0
BPO,0.0,0.0,0.0,1.0
BUSINESS-DEVELOPMENT,0.36363636363636365,0.6666666666666666,0.47058823529411764,6.0
CHEF,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
CONSTRUCTION,0.5714285714285714,0.8,0.6666666666666666,5.0
CONSULTANT,0.5,0.2,0.2857142857142857,5.0
DESIGNER,1.0,1.0,1.0,5.0
DIGITAL-MEDIA,0.3333333333333333,0.2,0.25,5.0
ENGINEERING,0.375,1.0,0.5454545454545454,6.0
FINANCE,0.5,0.8,0.6153846153846154,5.0
FITNESS,1.0,0.2,0.3333333333333333,5.0
HEALTHCARE,0.5,0.5,0.5,6.0
HR,1.0,1.0,1.0,5.0
INFORMATION-TECHNOLOGY,0.5,0.6666666666666666,0.5714285714285714,6.0
PUBLIC-RELATIONS,0.25,0.2,0.2222222222222222,5.0
SALES,0.375,0.5,0.42857142857142855,6.0
TEACHER,0.5555555555555556,1.0,0.7142857142857143,5.0
accuracy,0.475,0.475,0.475,0.475
macro avg,0.42090548340548345,0.43472222222222223,0.3876520674314792,120.0
weighted avg,0.4491672679172679,0.475,0.42000797949327356,120.0
