,precision,recall,f1-score,support
ACCOUNTANT,0.575,0.9583333333333334,0.71875,24.0
ADVOCATE,0.7894736842105263,0.625,0.6976744186046512,24.0
AGRICULTURE,1.0,0.5384615384615384,0.7,13.0
APPAREL,0.8181818181818182,0.47368421052631576,0.6,19.0
ARTS,0.8,0.19047619047619047,0.3076923076923077,21.0
AUTOMOBILE,1.0,0.2857142857142857,0.4444444444444444,7.0
AVIATION,0.8,0.8333333333333334,0.8163265306122449,24.0
BANKING,0.7777777777777778,0.6086956521739131,0.6829268292682927,23.0
BPO,0.0,0.0,0.0,4.0
BUSINESS-DEVELOPMENT,0.7931034482758621,0.9583333333333334,0.8679245283018868,24.0
CHEF,0.8181818181818182,0.75,0.782608695652174,24.0
CONSTRUCTION,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.0
CONSULTANT,0.7647058823529411,0.5652173913043478,0.65,23.0
DESIGNER,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
DIGITAL-MEDIA,0.8125,0.6842105263157895,0.7428571428571429,19.0
ENGINEERING,0.7916666666666666,0.7916666666666666,0.7916666666666666,24.0
FINANCE,0.7777777777777778,0.5833333333333334,0.6666666666666666,24.0
FITNESS,0.8181818181818182,0.782608695652174,0.8,23.0
HEALTHCARE,0.6521739130434783,0.6521739130434783,0.6521739130434783,23.0
HR,0.8076923076923077,0.9545454545454546,0.875,22.0
INFORMATION-TECHNOLOGY,0.6764705882352942,0.9583333333333334,0.7931034482758621,24.0
PUBLIC-RELATIONS,0.5862068965517241,0.7727272727272727,0.6666666666666666,22.0
SALES,0.6785714285714286,0.8260869565217391,0.7450980392156863,23.0
TEACHER,0.5555555555555556,1.0,0.7142857142857143,20.0
accuracy,0.738430583501006,0.738430583501006,0.738430583501006,0.738430583501006
macro avg,0.7431519009867099,0.6939336367611539,0.6881526578243635,497.0
weighted avg,0.7573575755188304,0.738430583501006,0.7233048483555541,497.0
